L,p_c
4,0.460449
4,0.657715
4,0.466309
4,0.499512
4,0.751465
4,0.495605
4,0.431152
4,0.574707
4,0.626465
4,0.628418
4,0.584473
4,0.658691
4,0.452637
4,0.563965
4,0.498535
4,0.812988
4,0.557129
4,0.498535
4,0.561035
4,0.556152
4,0.421387
4,0.549316
4,0.593262
4,0.529785
4,0.489746
4,0.571777
4,0.551270
4,0.339355
4,0.538574
4,0.404785
4,0.641113
4,0.687988
4,0.373535
4,0.530762
4,0.750488
4,0.536621
4,0.399902
4,0.490723
4,0.526855
4,0.514160
4,0.374512
4,0.571777
4,0.249512
4,0.510254
4,0.568848
4,0.511230
4,0.459473
4,0.750488
4,0.534668
4,0.467285
4,0.687988
4,0.499512
4,0.583496
4,0.520996
4,0.498535
4,0.622559
4,0.483887
4,0.573730
4,0.634277
4,0.534668
4,0.752441
4,0.609863
4,0.437012
4,0.626465
4,0.546387
4,0.750488
4,0.495605
4,0.458496
4,0.629395
4,0.758301
4,0.562012
4,0.579590
4,0.687988
4,0.576660
4,0.468262
4,0.557129
4,0.509277
4,0.639160
4,0.588379
4,0.567871
4,0.577637
4,0.343262
4,0.583496
4,0.662598
4,0.632324
4,0.580566
4,0.601074
4,0.487793
4,0.751465
4,0.512207
4,0.574707
4,0.412598
4,0.483887
4,0.628418
4,0.437012
4,0.621582
4,0.652832
4,0.555176
4,0.642090
4,0.468262
4,0.374512
4,0.452637
4,0.474121
4,0.499512
4,0.552246
4,0.515137
4,0.567871
4,0.631348
4,0.516113
4,0.497559
4,0.720215
4,0.494629
4,0.530762
4,0.518066
4,0.699707
4,0.578613
4,0.446777
4,0.464355
4,0.750488
4,0.727051
4,0.405762
4,0.750488
4,0.497559
4,0.520996
4,0.666504
4,0.532715
4,0.499512
4,0.535645
4,0.751465
4,0.703613
4,0.750488
4,0.664551
4,0.491699
4,0.648926
4,0.554199
4,0.482910
4,0.625488
4,0.635254
4,0.594238
4,0.524902
4,0.645020
4,0.567871
4,0.588379
4,0.562988
4,0.437012
4,0.583496
4,0.374512
4,0.374512
4,0.552246
4,0.370605
4,0.645020
4,0.452637
4,0.734863
4,0.679199
4,0.627441
4,0.506348
4,0.600098
4,0.482910
4,0.559082
4,0.473145
4,0.646973
4,0.600098
4,0.766113
4,0.529785
4,0.467285
4,0.421387
4,0.750488
4,0.562988
4,0.592285
4,0.614746
4,0.594238
4,0.397949
4,0.699707
4,0.676270
4,0.773926
4,0.498535
4,0.750488
4,0.599121
4,0.522949
4,0.374512
4,0.401855
4,0.534668
4,0.548340
4,0.611816
4,0.629395
4,0.602051
4,0.481934
4,0.575684
4,0.605957
4,0.601074
4,0.545410
4,0.472168
4,0.525879
4,0.577637
4,0.633301
4,0.543457
4,0.467285
4,0.703613
4,0.781738
4,0.570801
4,0.569824
4,0.562012
4,0.622559
4,0.312012
4,0.481934
4,0.577637
4,0.573730
4,0.374512
4,0.611816
4,0.552246
4,0.437012
4,0.497559
4,0.397949
4,0.688965
4,0.490723
4,0.664551
4,0.507324
4,0.750488
4,0.546387
4,0.429199
4,0.584473
4,0.499512
4,0.643066
4,0.704590
4,0.750488
4,0.656738
4,0.448730
4,0.625488
4,0.646973
4,0.485840
4,0.581543
4,0.674316
4,0.499512
4,0.575684
4,0.583496
4,0.658691
4,0.561035
4,0.754395
4,0.750488
4,0.604004
4,0.744629
4,0.405762
4,0.626465
4,0.372559
4,0.495605
4,0.484863
4,0.433105
4,0.626465
4,0.579590
4,0.707520
4,0.627441
4,0.616699
4,0.495605
4,0.573730
4,0.590332
4,0.553223
4,0.568848
4,0.590332
4,0.374512
4,0.563965
